musym,muname,mukind,mustatus,muacres,mapunitlfw_l,mapunitlfw_r,mapunitlfw_h,mapunitpfa_l,mapunitpfa_r,mapunitpfa_h,farmlndcl,muhelcl,muwathelcl,muwndhelcl,interpfocus,invesintens,iacornsr,nhiforsoigrp,nhspiagr,vtsepticsyscl,mucertstat,lkey,mukey
AGB,"Antho-Carrizo complex, 0 to 3 percent",Complex,,29356,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10264,53292
AHC,"Antho-Tremant complex, 1 to 5 percent slopes",Complex,,3403,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10264,53293
AL,Antho association,Association,,30848,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10264,53294
AM,Antho-Valencia association,Association,,15217,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10264,53295
Aa,Agualt loam,Consociation,,8059,,,,,,,Prime farmland if irrigated and either protected from flooding or not frequently flooded during the growing season,,,,,Order 2,,,,,,10264,53296
AdB,"Antho gravelly sandy loam, 1 to 3 percent slopes",Consociation,,3619,,,,,,,Prime farmland if irrigated,,,,,Order 2,,,,,,10264,53297
AbA,"Antho sandy loam, 0 to 1 percent slopes",Consociation,,32548,,,,,,,Prime farmland if irrigated,,,,,Order 2,,,,,,10264,53298
AbB,"Antho sandy loam, 1 to 3 percent slopes",Consociation,,1156,,,,,,,Prime farmland if irrigated,,,,,Order 2,,,,,,10264,53299
Ac,"Antho sandy loam, saline-alkali",Consociation,,3654,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10264,53300
AdA,"Antho gravelly sandy loam, 0 to 1 percent slopes",Consociation,,6014,,,,,,,Prime farmland if irrigated,,,,,Order 2,,,,,,10264,53301
Ae,Antho-Brios sandy loams,Complex,,9434,,,,,,,Prime farmland if irrigated and either protected from flooding or not frequently flooded during the growing season,,,,,Order 2,,,,,,10264,53302
AfA,"Antho-Carrizo complex, 0 to 1 percent slopes",Complex,,3861,,,,,,,Prime farmland if irrigated and either protected from flooding or not frequently flooded during the growing season,,,,,Order 2,,,,,,10264,53303
AfB,"Antho-Carrizo complex, 1 to 3 percent slopes",Complex,,1106,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10264,53304
AkB,"Antho-Tremant-Mohall complex, 1 to 5 percent slopes",Complex,,3092,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10264,53305
An,Avonda clay loam,Consociation,,1842,,,,,,,Prime farmland if irrigated,,,,,Order 2,,,,,,10264,53306
Ao,Avondale clay loam,Consociation,,22045,,,,,,,Prime farmland if irrigated,,,,,Order 2,,,,,,10264,53307
Ap,"Avondale clay loam, saline-alkali",Consociation,,1319,,,,,,,Farmland of unique importance,,,,,Order 2,,,,,,10264,53308
BE,Beardsley loam,Consociation,,955,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10264,53309
Br,Brios loamy sand,Consociation,,3969,,,,,,,Farmland of unique importance,,,,,Order 2,,,,,,10264,53310
Bs,Brios sandy loam,Consociation,,4927,,,,,,,Farmland of unique importance,,,,,Order 2,,,,,,10264,53311
Bt,Brios loam,Consociation,,1052,,,,,,,Farmland of unique importance,,,,,Order 2,,,,,,10264,53312
CA2,"Calciorthids and Torriorthents, eroded",Undifferentiated group,,1394,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10264,53313
CF,Carrizo and Brios soils,Complex,,17457,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10264,53314
CO,Cherioni-Rock outcrop complex,Complex,,38260,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10264,53315
CV,Coolidge-Laveen association,Association,,16557,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10264,53316
Cb,Carrizo gravelly sandy loam,Consociation,,4703,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10264,53317
CeD,"Carrizo-Ebon complex, 3 to 12 percent slopes",Complex,,1928,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10264,53318
Cg,Casa Grande sandy loam,Consociation,,3672,,,,,,,Farmland of unique importance,,,,,Order 2,,,,,,10264,53319
Ch,Casa Grande loam,Consociation,,6727,,,,,,,Farmland of unique importance,,,,,Order 2,,,,,,10264,53320
Ck,Casa Grande complex,Complex,,2170,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10264,53321
Cm,"Casa Grande-Laveen complex, alkali",Complex,,3067,,,,,,,Farmland of unique importance,,,,,Order 2,,,,,,10264,53322
Cn,"Cashion clay, saline-alkali",Consociation,,2896,,,,,,,Farmland of unique importance,,,,,Order 2,,,,,,10264,53323
Cp,Coolidge sandy loam,Consociation,,14023,,,,,,,Prime farmland if irrigated,,,,,Order 2,,,,,,10264,53324
CrB,"Coolidge gravelly sandy loam, 1 to 3 percent slopes",Consociation,,1049,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10264,53325
Cs,Coolidge-Tremant complex,Complex,,666,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10264,53326
Dn,Dune land,Consociation,,565,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10264,53327
EPD,"Ebon-Pinamt complex, 0 to 10 percent slopes",Complex,,7572,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10264,53328
EbD,"Ebon gravelly loam, 0 to 8 percent slopes",Consociation,,3361,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10264,53329
Es,Estrella loam,Consociation,,23152,,,,,,,Prime farmland if irrigated,,,,,Order 2,,,,,,10264,53330
Et,"Estrella loam, saline-alkali",Consociation,,2464,,,,,,,Farmland of unique importance,,,,,Order 2,,,,,,10264,53331
