comppct_l,comppct_r,comppct_h,compname,compkind,majcompflag,otherph,localphase,slope_l,slope_r,slope_h,slopelenusle_l,slopelenusle_r,slopelenusle_h,runoff,tfact,wei,weg,erocl,earthcovkind1,earthcovkind2,hydricon,hydricrating,drainagecl,elev_l,elev_r,elev_h,aspectccwise,aspectrep,aspectcwise,geomdesc,albedodry_l,albedodry_r,albedodry_h,airtempa_l,airtempa_r,airtempa_h,map_l,map_r,map_h,reannualprecip_l,reannualprecip_r,reannualprecip_h,ffd_l,ffd_r,ffd_h,nirrcapcl,nirrcapscl,nirrcapunit,irrcapcl,irrcapscl,irrcapunit,cropprodindex,constreeshrubgrp,wndbrksuitgrp,rsprod_l,rsprod_r,rsprod_h,foragesuitgrpid,wlgrain,wlgrass,wlherbaceous,wlshrub,wlconiferous,wlhardwood,wlwetplant,wlshallowwat,wlrangeland,wlopenland,wlwoodland,wlwetland,soilslippot,frostact,initsub_l,initsub_r,initsub_h,totalsub_l,totalsub_r,totalsub_h,hydgrp,corcon,corsteel,taxclname,taxorder,taxsuborder,taxgrtgroup,taxsubgrp,taxpartsize,taxpartsizemod,taxceactcl,taxreaction,taxtempcl,taxmoistscl,taxtempregime,soiltaxedition,castorieindex,flecolcomnum,flhe,flphe,flsoilleachpot,flsoirunoffpot,fltemik2use,fltriumph2use,indraingrp,innitrateleachi,misoimgmtgrp,vasoimgtgrp,mukey,cokey
,40,,Fruitland,Series,Yes,,,1.0,2.0,5.0,,61,,Very low,5,134,2,,,,,No,Somewhat excessively drained,1768.0,1800.0,1920.0,360,0,0,stream terraces,,0.30000001192092896,,10.5,11.0,12.0,152,203,254,,,,130,140,160,7,c,,,,,,,,300,400,500,,,,,,,,,,,,,,,Low,,,,,,,A,Low,Moderate,"Coarse-loamy, mixed, superactive, calcareous, mesic Typic Torriorthents",Entisols,Orthents,Torriorthents,Typic Torriorthents,coarse-loamy,,superactive,calcareous,mesic,Typic,mesic,,,,,,,,N/A,N/A,,,,,711048,13637870
,50,,Benally family,Family,Yes,,,1.0,2.0,5.0,,61,,Low,4,56,5,,,,,No,Well drained,1768.0,1800.0,1920.0,360,0,0,stream terraces,,0.30000001192092896,,10.5,11.0,12.0,152,203,254,,,,130,140,160,7,c,,,,,,,,300,400,500,,,,,,,,,,,,,,,Low,,,,,,,B,Moderate,Moderate,"Fine-loamy, mixed, superactive, mesic Typic Natrigypsids",Aridisols,Gypsids,Natrigypsids,Typic Natrigypsids,fine-loamy,,superactive,not used,mesic,Typic,mesic,,,,,,,,N/A,N/A,,,,,711048,13637871
,95,,Jocity,Series,Yes,,,0.0,2.0,3.0,,91,,High,5,86,3,,Grass/herbaceous cover,Grassland rangeland,Neither wooded nor farmable under natural conditions,No,Well drained,1463.0999755859375,1645.9000244140625,1828.800048828125,360,0,0,flood plains,,0.30000001192092896,,10.5,11.0,12.0,152,203,254,,,,130,145,160,7,c,,3,w,,,,,450,550,650,,,,,,,,,,,,,,,Low,,,,,,,C,Low,High,"Fine-loamy, mixed, superactive, calcareous, mesic Typic Torrifluvents",Entisols,Fluvents,Torrifluvents,Typic Torrifluvents,fine-loamy,,superactive,calcareous,mesic,Typic,mesic,,,,,,,,N/A,N/A,,,,,822485,13638002
,100,,Wepo,Series,Yes,MAP6-10,,0.0,1.0,3.0,30,152,305,Very low,5,86,4L,None - deposition,Grass/herbaceous cover,Grassland rangeland,,No,Well drained,1554.0,1554.0,1859.0,360,315,0,"plateaus, stream terraces",,0.30000001192092896,,11.100000381469727,11.699999809265137,12.199999809265137,152,203,254,,,,130,145,160,7,s,,3,s,,,,,400,550,650,,,,,,,,,,,,,,,Low,0,0,0,0,0,0,C,Moderate,High,"Fine, mixed, superactive, mesic Vertic Haplocambids",Aridisols,Cambids,Haplocambids,Vertic Haplocambids,fine,,superactive,not used,mesic,Typic,mesic,eleventh edition,,,,,,,N/A,N/A,,,,,1650668,13638038
,100,,Ustic Torriorthents,Taxon above family,Yes,MAP10-12,,10.0,23.0,35.0,10,15,20,Very high,3,,,,Shrub cover,Native shrubs,Neither wooded nor farmable under natural conditions,No,Well drained,1767.9000244140625,1905.0,2042.199951171875,360,0,0,hills,,,,10.600000381469727,10.800000190734863,11.100000381469727,254,305,356,,,,130,140,150,7,e,,,,,,,,550,750,1100,,,,,,,,,,,,,,,Low,0,0,0,,,,A,,,Ustic Torriorthents,Entisols,Orthents,Torriorthents,Ustic Torriorthents,,,,,mesic,Ustic,mesic,,,,,,,,N/A,N/A,,,,,1650667,13638032
,100,,Typic Torriorthents,Taxon above family,Yes,MAP6-10,,10.0,23.0,35.0,10,15,20,Very high,3,,,,Grass/herbaceous cover,Shrubby rangeland,Neither wooded nor farmable under natural conditions,No,Well drained,1524.0,1661.199951171875,1798.300048828125,360,0,0,hills,,,,11.100000381469727,11.699999809265137,12.199999809265137,152,203,254,,,,130,145,160,8,s,,,,,,,,200,350,500,,,,,,,,,,,,,,,None,0,0,0,,,,A,,,Typic Torriorthents,Entisols,Orthents,Torriorthents,Typic Torriorthents,,,,,mesic,Typic,mesic,,,,,,,,N/A,N/A,,,,,1650666,13638031
,50,,Skyvillage,Series,Yes,MAP10-14,,1.0,5.0,8.0,10,55,100,Medium,1,86,3,,Tree cover,Conifers,Neither wooded nor farmable under natural conditions,No,Well drained,1798.300048828125,1920.300048828125,2042.199951171875,360,0,0,hills,,0.30000001192092896,,10.600000381469727,11.100000381469727,11.699999809265137,254,305,356,,,,120,135,150,7,e,,,,,,,,300,400,600,,,,,,,,,,,,,,,Low,0,0,0,,,,D,Low,Moderate,"Loamy, mixed, superactive, calcareous, mesic Lithic Ustic Torriorthents",Entisols,Orthents,Torriorthents,Lithic Ustic Torriorthents,loamy,,superactive,calcareous,mesic,Ustic,mesic,,,,,,,,N/A,N/A,,,,,1650665,13638029
,35,,Rock outcrop,Miscellaneous area,Yes,,,,,,,,,,,,,,,Rock,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,1650665,13638030
,70,,Strych family,Family,Yes,MAP10-14,,25.0,43.0,60.0,10,15,20,Medium,5,0,8,,Shrub cover,Native shrubs,Neither wooded nor farmable under natural conditions,No,Well drained,1767.9000244140625,1905.0,2042.199951171875,360,0,0,hills,,0.23000000417232513,,10.600000381469727,11.100000381469727,11.699999809265137,254,305,356,,,,130,140,150,7,e,,,,,,,,550,750,1100,,,,,,,,,,,,,,,Moderate,0,0,0,,,,A,Low,Moderate,"Loamy-skeletal, mixed, superactive, mesic Ustic Haplocalcids",Aridisols,Calcids,Haplocalcids,Ustic Haplocalcids,loamy-skeletal,,superactive,,mesic,Ustic,mesic,,,,,,,,N/A,N/A,,,,,1650664,13638027
,20,,Rock outcrop,Miscellaneous area,Yes,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,1650664,13638028
,50,,Rock outcrop,Miscellaneous area,Yes,,,,,,,,,,,,,,,Rock,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,1650663,13638025
,40,,Torriorthents,Taxon above family,Yes,MAP10-14,,5.0,33.0,60.0,10,15,20,Very high,3,,,,Shrub cover,Native shrubs,Neither wooded nor farmable under natural conditions,No,Well drained,1767.9000244140625,1920.300048828125,2072.699951171875,360,0,0,escarpments,,0.30000001192092896,,10.600000381469727,11.699999809265137,12.199999809265137,254,305,356,,,,130,145,160,8,e,,,,,,,,550,750,1100,,,,,,,,,,,,,,,None,0,0,0,,,,A,,,Torriorthents,Entisols,Orthents,Torriorthents,,,,,,mesic,Ustic,mesic,,,,,,,,N/A,N/A,,,,,1650663,13638026
