comppct_l,comppct_r,comppct_h,compname,compkind,majcompflag,otherph,localphase,slope_l,slope_r,slope_h,slopelenusle_l,slopelenusle_r,slopelenusle_h,runoff,tfact,wei,weg,erocl,earthcovkind1,earthcovkind2,hydricon,hydricrating,drainagecl,elev_l,elev_r,elev_h,aspectccwise,aspectrep,aspectcwise,geomdesc,albedodry_l,albedodry_r,albedodry_h,airtempa_l,airtempa_r,airtempa_h,map_l,map_r,map_h,reannualprecip_l,reannualprecip_r,reannualprecip_h,ffd_l,ffd_r,ffd_h,nirrcapcl,nirrcapscl,nirrcapunit,irrcapcl,irrcapscl,irrcapunit,cropprodindex,constreeshrubgrp,wndbrksuitgrp,rsprod_l,rsprod_r,rsprod_h,foragesuitgrpid,wlgrain,wlgrass,wlherbaceous,wlshrub,wlconiferous,wlhardwood,wlwetplant,wlshallowwat,wlrangeland,wlopenland,wlwoodland,wlwetland,soilslippot,frostact,initsub_l,initsub_r,initsub_h,totalsub_l,totalsub_r,totalsub_h,hydgrp,corcon,corsteel,taxclname,taxorder,taxsuborder,taxgrtgroup,taxsubgrp,taxpartsize,taxpartsizemod,taxceactcl,taxreaction,taxtempcl,taxmoistscl,taxtempregime,soiltaxedition,castorieindex,flecolcomnum,flhe,flphe,flsoilleachpot,flsoirunoffpot,fltemik2use,fltriumph2use,indraingrp,innitrateleachi,misoimgmtgrp,vasoimgtgrp,mukey,cokey
,85,,Altamont,Series,Yes,MAP12-16,,5.0,10.0,15.0,,,,Very high,3,86,4,,,,,No,Well drained,61.0,526.0,991.0,338,90,203,"hills, uplands",,0.25,,15.0,16.0,17.0,229,432,635,,,,200,255,310,3,e,,3,e,,,,,800,1400,2000,,,,,,,,,,,,,,,Moderate,0,0,0,0,0,0,D,Low,High,"Fine, montmorillonitic, thermic Typic Chromoxererts",Vertisols,Xererts,Chromoxererts,Typic Chromoxererts,fine,,,not used,thermic,,thermic,,28,,,,,,N/A,N/A,,,,,458132,13143795
,1,,Unnamed,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,458132,13143796
,2,,Altamont,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,458132,13143797
,5,,Soper,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,458132,13143798
,5,,Gaviota,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,458132,13143799
,2,,Vallecitos,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,458132,13143800
,85,,Altamont,Series,Yes,MAP12-16,,15.0,20.0,25.0,,,,Very high,3,86,4,,,,,No,Well drained,61.0,526.0,991.0,293,23,113,"hills, uplands",,0.25,,15.0,16.0,17.0,229,432,635,,,,200,255,310,4,e,,4,e,,,,,800,1400,2000,,,,,,,,,,,,,,,Moderate,0,0,0,0,0,0,D,Low,High,"Fine, montmorillonitic, thermic Typic Chromoxererts",Vertisols,Xererts,Chromoxererts,Typic Chromoxererts,fine,,,not used,thermic,,thermic,,25,,,,,,N/A,N/A,,,,,458133,13143801
,5,,Vallecitos,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,458133,13143802
,5,,Soper,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,458133,13143803
,5,,Gaviota,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,458133,13143804
,85,,Altamont,Series,Yes,MAP12-16,,25.0,38.0,50.0,,,,Very high,3,86,4,,,,,No,Well drained,61.0,526.0,991.0,338,45,113,"hills, uplands",,0.25,,15.0,16.0,17.0,229,432,635,,,,200,255,310,6,e,,,,,,,,800,1400,2000,,,,,,,,,,,,,,,Moderate,0,0,0,0,0,0,D,Low,High,"Fine, montmorillonitic, thermic Typic Chromoxererts",Vertisols,Xererts,Chromoxererts,Typic Chromoxererts,fine,,,not used,thermic,,thermic,,13,,,,,,N/A,N/A,,,,,458134,13143805
,5,,Soper,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,458134,13143806
