musym,muname,mukind,mustatus,muacres,mapunitlfw_l,mapunitlfw_r,mapunitlfw_h,mapunitpfa_l,mapunitpfa_r,mapunitpfa_h,farmlndcl,muhelcl,muwathelcl,muwndhelcl,interpfocus,invesintens,iacornsr,nhiforsoigrp,nhspiagr,vtsepticsyscl,mucertstat,lkey,mukey
135,"Capistrano sandy loam, 2 to 9 percent slopes",Consociation,,70,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14137,729105
186,"Ramona fine sandy loam, 2 to 9 percent slopes",Consociation,,44,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14137,729106
213,"Vista coarse sandy loam, 9 to 15 percent slopes",Consociation,,25,,,,,,,Not prime farmland,,,,,,,,,,,14137,729107
VaB,"Visalia sandy loam, 2 to 5 percent slopes",Consociation,,17,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14137,729108
VaC,"Visalia sandy loam, 5 to 9 percent slopes",Consociation,,19,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14137,729109
VaD,"Visalia sandy loam, 9 to 15 percent slopes",Consociation,,8,,,,,,,Not prime farmland,,,,,,,,,,,14137,729110
Co,Clayey alluvial land,Consociation,,6,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14137,729111
RcD,"Ramona gravelly sandy loam, 9 to 15 percent slopes",Consociation,,34,,,,,,,Not prime farmland,,,,,,,,,,,14137,729112
WmC,"Wyman loam, 5 to 9 percent slopes",Consociation,,8,,,,,,,Farmland of statewide importance,,,,,,,,,,,14137,729114
Go,Gaviota-Rock outcrop complex,Complex,,163,,,,,,,Not prime farmland,,,,,,,,,,,14137,729115
SrF,"Soper gravelly loam, 30 to 50 percent slopes, MLRA 20",Consociation,,82,,,,,,,Not prime farmland,,,,,,,,,,,14137,729117
ShF,"Saugus sandy loam, 30 to 50 percent slopes",Consociation,,716,,,,,,,Not prime farmland,,,,,,,,,,,14137,729118
FoF,"Fontana clay loam, 30 to 50 percent slopes",Consociation,,1,,,,,,,Not prime farmland,,,,,,,,,,,14137,729119
Gr,"Grangeville fine sandy loam, warm MAAT, MLRA 19",Consociation,,53,,,,,,,Prime farmland if irrigated,,,,,Order 2,,,,,,14137,729120
Gs,"Grangeville fine sandy loam, saline-alkali",Consociation,,34,,,,,,,Farmland of statewide importance,,,,,,,,,,,14137,729121
