comppct_l,comppct_r,comppct_h,compname,compkind,majcompflag,otherph,localphase,slope_l,slope_r,slope_h,slopelenusle_l,slopelenusle_r,slopelenusle_h,runoff,tfact,wei,weg,erocl,earthcovkind1,earthcovkind2,hydricon,hydricrating,drainagecl,elev_l,elev_r,elev_h,aspectccwise,aspectrep,aspectcwise,geomdesc,albedodry_l,albedodry_r,albedodry_h,airtempa_l,airtempa_r,airtempa_h,map_l,map_r,map_h,reannualprecip_l,reannualprecip_r,reannualprecip_h,ffd_l,ffd_r,ffd_h,nirrcapcl,nirrcapscl,nirrcapunit,irrcapcl,irrcapscl,irrcapunit,cropprodindex,constreeshrubgrp,wndbrksuitgrp,rsprod_l,rsprod_r,rsprod_h,foragesuitgrpid,wlgrain,wlgrass,wlherbaceous,wlshrub,wlconiferous,wlhardwood,wlwetplant,wlshallowwat,wlrangeland,wlopenland,wlwoodland,wlwetland,soilslippot,frostact,initsub_l,initsub_r,initsub_h,totalsub_l,totalsub_r,totalsub_h,hydgrp,corcon,corsteel,taxclname,taxorder,taxsuborder,taxgrtgroup,taxsubgrp,taxpartsize,taxpartsizemod,taxceactcl,taxreaction,taxtempcl,taxmoistscl,taxtempregime,soiltaxedition,castorieindex,flecolcomnum,flhe,flphe,flsoilleachpot,flsoirunoffpot,fltemik2use,fltriumph2use,indraingrp,innitrateleachi,misoimgmtgrp,vasoimgtgrp,mukey,cokey
,90,,Pits,Miscellaneous area,Yes,,quarry,1.0,21.0,40.0,,,,,,,,,Barren land,Sand and gravel,,No,,2.0,10.0,20.0,,,,borrow pits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,1903060,13765524
,5,,Colmena,Series,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,1903060,13765525
,5,,Topo,Series,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,1903060,13765526
5,10,15,Unnamed,,No,,,,,,,,,,,,,,,,,No,,,,,,,,stream terraces on meander belts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,2403278,13765495
85,90,95,Nusil,Series,Yes,,,1.0,3.0,5.0,,61,,Low,5,134,2,None - deposition,Grass/herbaceous cover,Shrubby rangeland,,No,Well drained,76.0,91.0,137.0,85,135,190,stream terraces on river valleys,,0.23000000417232513,,21.0,22.0,23.0,560,611,700,,,,270,290,320,4,e,,,,,,,,2500,4000,5000,,,,,,,,,,,,,,,None,0,0,0,,,,C,Low,Moderate,"Loamy, siliceous, active, hyperthermic Arenic Paleustalfs",Alfisols,Ustalfs,Paleustalfs,Arenic Paleustalfs,loamy,not used,active,not used,hyperthermic,Ustic,hyperthermic,tenth edition,,,,,,,N/A,N/A,,,,,2403278,13765496
85,90,95,Papagua,Series,Yes,,,0.0,0.5,1.0,,61,,Negligible,5,86,3,None - deposition,Grass/herbaceous cover,Shrubby rangeland,Neither wooded nor farmable under natural conditions,Yes,Somewhat poorly drained,76.0,118.0,160.0,85,135,190,"coastal plains, depressions",,0.30000001192092896,,22.0,23.0,23.0,580,611,700,,,,270,290,320,3,w,,,,,,,,2500,4500,6000,,,,,,,,,,,,,,Low,None,0,0,0,,,,C/D,Low,High,"Fine, mixed, active, hyperthermic Typic Albaqualfs",Alfisols,Aqualfs,Albaqualfs,Typic Albaqualfs,fine,not used,active,not used,hyperthermic,,hyperthermic,tenth edition,,,,,,,N/A,N/A,,,,,2403279,13765497
5,10,15,Unnamed,,No,,,,,,,,,,,,,,,,,No,,,,,,,,depressions on coastal plains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,2403279,13765498
85,90,95,Tiocano,Series,Yes,,,0.0,0.5,1.0,30,30,60,Negligible,5,86,4,None - deposition,Grass/herbaceous cover,Other grass/herbaceous cover,,No,Somewhat poorly drained,48.79999923706055,79.30000305175781,237.6999969482422,0,135,360,closed depressions on coastal plains,,0.09000000357627869,,21.100000381469727,21.700000762939453,22.700000762939453,635,685,762,,,,270,285,300,4,w,,4,w,,,4c,,3000,4000,5000,,,,,,,,,,,,,,,None,0,0,0,0,0,0,D,Low,High,"Fine, smectitic, hyperthermic Udic Haplusterts",Vertisols,Usterts,Haplusterts,Udic Haplusterts,fine,not used,not used,not used,hyperthermic,Udic,hyperthermic,eleventh edition,,,,,,,N/A,N/A,,,,,2403280,13765597
3,7,10,Realitos,Series,No,,,0.0,0.5,1.0,,,,,,,,,,,,No,Somewhat poorly drained,48.79999923706055,79.30000305175781,237.6999969482422,,,,,,,,21.100000381469727,21.700000762939453,22.700000762939453,635,685,762,,,,270,285,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fine, smectitic, hyperthermic Typic Haplusterts",Vertisols,Usterts,Haplusterts,Typic Haplusterts,fine,not used,not used,not used,hyperthermic,Typic,hyperthermic,eleventh edition,,,,,,,N/A,N/A,,,,,2403280,13765598
0,1,5,Papalote,Series,No,,,0.0,0.5,1.0,,,,,,,,,,,,No,Moderately well drained,48.79999923706055,79.30000305175781,237.6999969482422,,,,,,,,21.100000381469727,21.700000762939453,22.700000762939453,635,685,762,,,,270,285,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fine, smectitic, hyperthermic Typic Paleustalfs",Alfisols,Ustalfs,Paleustalfs,Typic Paleustalfs,fine,not used,not used,not used,hyperthermic,Typic,hyperthermic,eleventh edition,,,,,,,N/A,N/A,,,,,2403280,13765599
