musym,muname,mukind,mustatus,muacres,mapunitlfw_l,mapunitlfw_r,mapunitlfw_h,mapunitpfa_l,mapunitpfa_r,mapunitpfa_h,farmlndcl,muhelcl,muwathelcl,muwndhelcl,interpfocus,invesintens,iacornsr,nhiforsoigrp,nhspiagr,vtsepticsyscl,mucertstat,lkey,mukey
Ps,"Pits, quarry",Consociation,,1745,,,,,,,Not prime farmland,,,,,Order 2,,,,,,13598,1903060
NuC,"Nusil loamy fine sand, 1 to 5 percent slopes",Consociation,,315,,,,,,,"Farmland of statewide importance, if irrigated",,,,,Order 2,,,,,,13598,2403278
PgA,"Papagua fine sandy loam, 0 to 1 percent slopes",Consociation,,429,,,,,,,Not prime farmland,,,,,Order 2,,,,,,13598,2403279
TcA,"Tiocano clay, dry, 0 to 1 percent slopes, occasionally ponded",Consociation,,1040,,,,,,,Not prime farmland,,,,rangeland,Order 2,,,,,,13598,2403280
ReA,"Realitos clay, 0 to 1 percent slopes",Consociation,,3507,,,,,,,Not prime farmland,,,,,Order 2,,,,,,13598,2403281
WaB,"Weesatche fine sandy loam, dry, 1 to 3 percent slopes",Consociation,,61154,,,,,,,Prime farmland if irrigated,,,,rangeland,Order 2,,,,,,13598,2403282
WaC,"Weesatche fine sandy loam, dry, 3 to 5 percent slopes",Consociation,,1419,,,,,,,Prime farmland if irrigated,,,,rangeland,Order 2,,,,,,13598,2403283
AlA,"Alet sandy clay loam, 0 to 1 percent slopes, rarely flooded",Consociation,,63202,,,,,,,Prime farmland if irrigated,,,,,Order 2,,,,,,13598,2403284
StA,"Sinton sandy clay loam, 0 to 1 percent slopes, occasionally flooded",Consociation,,14448,,,,,,,Not prime farmland,,,,,Order 2,,,,,,13598,2403285
DeA,"Delfina fine sandy loam, 0 to 2 percent slopes",Consociation,,57890,,,,,,,Not prime farmland,,,,cropland,Order 2,,,,,,13598,2403286
GeB,"Gertrudis fine sandy loam, 0 to 3 percent slopes",Consociation,,11637,,,,,,,Prime farmland if irrigated,,,,,Order 2,,,,,,13598,2403287
DmB,"Delmita fine sandy loam, 0 to 3 percent slopes",Consociation,,27341,,,,,,,"Farmland of statewide importance, if irrigated",,,,rangeland,Order 2,,,,,,13598,2403288
BrB,"Brennan fine sandy loam, 0 to 3 percent slopes",Consociation,,561,,,,,,,Prime farmland if irrigated,,,,rangeland,Order 2,,,,,,13598,2403289
CmB,"Colmena fine sandy loam, 0 to 3 percent slopes",Consociation,,28531,,,,,,,Prime farmland if irrigated,,,,,,,,,,,13598,2403290
DaB,"Delfina loamy fine sand, 0 to 2 percent slopes",Consociation,,18265,,,,,,,Prime farmland if irrigated,,,,pastureland,Order 2,,,,,,13598,2403291
DfB,"Delmita loamy fine sand, 0 to 3 percent slopes",Consociation,,26762,,,,,,,"Farmland of statewide importance, if irrigated",,,,rangeland,Order 2,,,,,,13598,2403292
