soimoistdept_l,soimoistdept_r,soimoistdept_h,soimoistdepb_l,soimoistdepb_r,soimoistdepb_h,soimoiststat,month,runoff,areaname

0,0,0,152,152,152,Dry,April,Low,"Maricopa County, Arizona, Central Part"

0,0,0,152,152,152,Dry,August,Low,"Maricopa County, Arizona, Central Part"

0,0,0,152,152,152,Dry,December,Low,"Maricopa County, Arizona, Central Part"

0,0,0,152,152,152,Dry,February,Low,"Maricopa County, Arizona, Central Part"

0,0,0,152,152,152,Dry,January,Low,"Maricopa County, Arizona, Central Part"

0,0,0,152,152,152,Dry,July,Low,"Maricopa County, Arizona, Central Part"

0,0,0,152,152,152,Dry,June,Low,"Maricopa County, Arizona, Central Part"

0,0,0,152,152,152,Dry,March,Low,"Maricopa County, Arizona, Central Part"

0,0,0,152,152,152,Dry,May,Low,"Maricopa County, Arizona, Central Part"

0,0,0,152,152,152,Dry,November,Low,"Maricopa County, Arizona, Central Part"

0,0,0,152,152,152,Dry,October,Low,"Maricopa County, Arizona, Central Part"

0,0,0,152,152,152,Dry,September,Low,"Maricopa County, Arizona, Central Part"

0,0,0,152,168,183,,April,Low,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

152,168,183,183,183,183,Wet,April,Low,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

152,168,183,183,183,183,,August,Low,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

0,0,0,152,168,183,,August,Low,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

0,0,0,152,168,183,,December,Low,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

152,168,183,183,183,183,Wet,December,Low,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

0,0,0,152,168,183,,February,Low,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

152,168,183,183,183,183,Wet,February,Low,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

0,0,0,152,168,183,,January,Low,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

152,168,183,183,183,183,Wet,January,Low,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

152,168,183,183,183,183,,July,Low,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

0,0,0,152,168,183,,July,Low,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

0,0,0,152,168,183,,June,Low,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

152,168,183,183,183,183,Wet,June,Low,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

0,0,0,152,168,183,,March,Low,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

152,168,183,183,183,183,Wet,March,Low,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

0,0,0,152,168,183,,May,Low,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

152,168,183,183,183,183,Wet,May,Low,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

0,0,0,152,168,183,,November,Low,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

152,168,183,183,183,183,Wet,November,Low,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

152,168,183,183,183,183,,October,Low,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

0,0,0,152,168,183,,October,Low,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

152,168,183,183,183,183,,September,Low,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

0,0,0,152,168,183,,September,Low,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

0,0,0,183,183,183,Wet,January,Negligible,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

0,0,0,183,183,183,Wet,February,Negligible,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

0,0,0,183,183,183,Wet,March,Negligible,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

0,0,0,183,183,183,Wet,April,Negligible,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

